id,name,series,scale,brand,origin_url
61,ユウキ,ソードアート・オンライン,1/7,Alter,https://alter-web.jp/products/480/
62,胡蝶 しのぶ,鬼滅の刃,1/8,Alter,https://alter-web.jp/products/484/
63,シノン,劇場版 ソードアート・オンライン -オーディナル・スケール-,1/7,Alter,https://alter-web.jp/products/206/
64,宮本 武蔵　私服Ver.,Fate/Grand Order,1/7,Alter,https://alter-web.jp/products/323/
65,アスナ　GGO Ver.,ソードアート・オンライン アリシゼーション,1/7,Alter,https://alter-web.jp/products/406/
66,セイバー／アルトリア・ペンドラゴン［オルタ］　ドレスVer.,Fate/Grand Order,1/7,Alter,https://alter-web.jp/products/1/
67,春日野 穹　Ending Ver.,ヨスガノソラ,1/6,Alter,https://alter-web.jp/products/262/
68,籾岡 里紗,To LOVEる-とらぶる-ダークネス,1/7,Alter,https://alter-web.jp/products/260/
69,アルターエゴ／メルトリリス,Fate/Grand Order,1/8,Alter,https://alter-web.jp/products/261/
70,桐須 真冬　競泳水着Ver.,ぼくたちは勉強ができない！,1/7,Alter,https://alter-web.jp/products/476/
71,モモ・ベリア・デビルーク　パジャマVer.,To LOVEる-とらぶる-ダークネス,1/7,Alter,https://alter-web.jp/products/263/
72,古手川 唯,To LOVEる-とらぶる-ダークネス,1/7,Alter,https://alter-web.jp/products/2/
73,ライダー／アルトリア・ペンドラゴン［オルタ］,Fate/Grand Order,1/7,Alter,https://alter-web.jp/products/256/
74,アリス,オーディンスフィア レイヴスラシル,1/8,Alter,https://alter-web.jp/products/265/
75,島村 卯月　はじけて♪サマーVer.,アイドルマスター シンデレラガールズ,1/7,Alter,https://alter-web.jp/products/208/
76,志摩 リン with スクーター,ゆるキャン△,1/10,Alter,https://alter-web.jp/products/252/
77,鷹富士 茄子　強運の才女Ver.,アイドルマスター シンデレラガールズ,1/7,Alter,https://alter-web.jp/products/257/
78,五十鈴 れん,マギアレコード 魔法少女まどか☆マギカ外伝,1/8,Alter,https://alter-web.jp/products/258/
79,マスターアルトリア,Fate/stay night,1/7,Alter,https://alter-web.jp/products/47/
80,津島 善子,ラブライブ！スクールアイドルフェスティバル,1/7,Alter,https://alter-web.jp/products/250/
81,高坂 穂乃果　ホワイトデー編,ラブライブ！スクールアイドルフェスティバル,1/7,Alter,https://alter-web.jp/products/242/
