figure_id,character
167,HYPERDIMENSION NEPTUNE Black Heart
168,フェイト・テスタロッサ　ブレイズフォーム　‐Full Drive‐
169,星空 凛
170,結城 友奈
171,千姫　サディスティック・サキュバスVer.
172,桐崎 千棘
173,プラーミャ様
174,結城 美柑
175,西木野 真姫　水着Ver.
176,忍野 忍
177,セルティ・ストゥルルソン
178,μ-No.12-（ミュー・テュエルブ）
179,宝蔵院胤舜
180,ベートーヴェン
181,ハイデマリー・W・シュナウファー
182,シャルロット
182,セシリア　水着Ver.
183,メフメラ
184,アリシア・ハート
185,ラビリス
186,春日野 穹　チャイナドレスVer.
187,星月・フェラーリ
188,The Muse of Range Murata
189,八神はやて　-Summer holiday-
190,宮藤 芳佳　Ver.1.5
191,すーぱーそに子　水着サンタVer.
192,春日野 穹
193,八神はやて　-Zur Zeit des Erwachens-
194,シグナム　-Der Stolz sogar eines Ritters-
195,一色 あかね
196,飛鳥　命駆Ver.
197,リネット・ビショップ
198,フランチェスカ・ルッキーニ
199,アティ
200,ペリーヌ・クロステルマン
201,桐ヶ谷 直葉
202,鹿角
203,小鳥遊 美羽
204,谷川 柑菜
205,坂本 美緒
206,テイルズ オブ ヴェスペリア　エステリーゼ・シデス・ヒュラッセイン
207,セイバーオルタ　水着Ver.
208,ディズィー
209,高町なのは　水着Ver.
210,サーニャ・V・リトヴャク　ロケットブースターVer.
211,アインハルト・ストラトス
212,メルティ
213,メルティ　クリスマスVer.
214,阿万音 鈴羽
214,マウンテンバイク
215,千反田 える
216,セイバー　ドレスコード
217,蒼崎 橙子
218,ブラック羽川
219,高町なのは　-Summer holiday-
220,パンティ
221,Xenosaga Ⅲ　KOS-MOS　水着Ver.
222,直江兼続
223,プリンセス・オブ・ザ・クリスタル
224,スキャンティ
225,ミスティ
226,赤座 あかり
227,千石 撫子
228,柳生十兵衛
229,ゲルトルート・バルクホルン
230,ラウラ・ボーデヴィッヒ　メイドVer.
231,ハンナ・ユスティーナ・マルセイユ
232,魔女っ娘ミラクるん
