name,material
ヴァンパイア,PVC
園田 海未　ホワイトデー編,PVC
南 ことり　ホワイトデー編,PVC
二宮 飛鳥　《偶像》のフラグメントVer.,PVC
アヴェンジャー／ジャンヌ・ダルク〔オルタ〕,PVC
アヴェンジャー／ジャンヌ・ダルク〔オルタ〕,ABS
式波・アスカ・ラングレー　ジャージVer.,PVC
赤城 みりあ　パーティータイム・ゴールドVer.,PVC
マシュ・キリエライト,PVC
宮内 レミィ,PVC
国木田 花丸　制服Ver.,PVC
セイバー　着物ドレスVer.,PVC
乙倉 悠貴　カム・ウィズミー！Ver.,PVC
テレサ・テスタロッサ　メイドVer.,PVC
テイルズ オブ ゼスティリア　エドナ,PVC
ナーベラル・ガンマ　so-bin Ver.,PVC
黒咲 芽亜,PVC
アルル・ナジャ,PVC
結城 美柑　スク水Ver.,PVC
矢澤 にこ＆西木野 真姫　バレンタイン編,PVC
猫又お恋,PVC
足利 茶々丸,PVC
アスナ,PVC
アスナ,ABS
魔王ルシ子,PVC
松浦 果南　ウェットスーツVer.,PVC
金色の闇　ナースVer.,PVC
グウェンドリン　レイヴスラシルVer.,PVC
雁淵 ひかり,PVC
プラフタ,PVC
プラフタ,ABS
スカサハ　部屋着モード,PVC
一ノ瀬 志希　パフュームトリッパーVer.,PVC
星空 凛　3月編,PVC
小泉 花陽　3月編,PVC
パープルハート,PVC
パープルハート,ABS
鷺沢 文香　ブライトメモリーズVer.,PVC
双葉 杏　なまけものフェアリーVer.,PVC
ララ・サタリン・デビルーク　メイドVer.,PVC
神崎 蘭子　薔薇の闇姫Ver.,PVC
ライダー／アルトリア・ペンドラゴン［サンタオルタ］,PVC
輿水 幸子　自称・カンペキVer.,PVC
水戸 郁魅,PVC
絢瀬 絵里,PVC
南 ことり,PVC
ゲルトルート・バルクホルン　ジェットストライカーVer.,PVC
メンタルモデル・タカオ　オーバーニーVer.,PVC
高坂 穂乃果,PVC
園田 海未,PVC
アナスタシア　Memories Ver.,PVC
神崎 蘭子　Memories Ver.,PVC
東郷 美森,PVC
新田 美波　Memories Ver.,PVC
ラウラ＆シャル　ネコミミパジャマ,PVC
Fate/EXTRA セイバーエクストラ　水着Ver.,PVC
安原 絵麻,PVC
ヒロインX,PVC
春日野 穹　-Bunny Style-,PVC
紺菊,PVC
弓弦葉,PVC
百姫　～OIRONAOSHI～,PVC
小泉 花陽,PVC
西木野 真姫,PVC
多田 李衣菜,PVC
前川 みく,PVC
東條 希,PVC
矢澤 にこ,PVC
千斗 いすず,PVC
サーニャ＆エイラ　水着Ver.,PVC
